amie,LAT,LON,x,y
09H00001,-2.2076533,-79.893105,623086.548,9755940.95
09H00016,-2.2063506,-79.885406,623942.9177,9756084.339
09H00023,-2.2054806,-79.888481,623600.8873,9756180.774
09H00024,-2.2054515,-79.888741,623571.7561,9756184.023
09H00028,-2.2085817,-79.888199,623631.512,9755837.911
09H00029,-2.2049842,-79.887131,623751.086,9756235.566
09H00043,-2.1965113,-79.890343,623395.464,9757172.495
09H00045,-2.2000329,-79.890762,623347.595,9756783.213
09H00053,-2.1820502,-79.877167,624861.19,9758770.128
09H00054,-2.1834993,-79.876076,624982.324,9758609.834
09H00057,-2.1820502,-79.877167,624861.19,9758770.128
09H00060,-2.1867101,-79.881042,624429.531,9758255.278
09H00082,-2.2300587,-79.93692,618211.5437,9753467.589
09H00085,-2.2306738,-79.72644,641620,9753381
09H00098,-2.2208493,-79.916641,620468.2009,9754484.073
09H00100,-2.197778,-79.929398,619050.9183,9757035.654
09H00105,-2.224071,-79.944298,617391.6614,9754130.133
09H00112,-2.1952736,-79.928352,619167.7217,9757312.415
09H00132,-2.1976063,-79.921791,619897.3809,9757054.021
09H00140,-2.2038877,-79.919182,620186.5483,9756359.376
09H00148,-2.1976063,-79.921791,619897.3809,9757054.021
09H00156,-2.2166991,-79.923882,619663.1101,9754943.433
09H00159,-2.224071,-79.944298,617391.6614,9754130.133
09H00165,-2.2227407,-79.919273,620174.9696,9754275.185
09H00179,-2.198215,-79.914337,620726.4237,9756986.106
09H00180,-2.2279584,-79.940079,617860.9591,9753700.021
09H00182,-2.1982419,-79.910355,621168.18,9756982.83
09H00188,-2.1986697,-79.920395,620051.7318,9756936.372
09H00195,-2.1943152,-79.93161,618806.0504,9757418.631
09H00198,-2.2262189,-79.935364,618385.2744,9753891.917
09H00213,-2.1932495,-79.92749,619263.5211,9757536.133
09H00221,-2.2015085,-79.931061,618866.01,9756623.35
09H00225,-2.203629,-79.94413,617412.9785,9756390.005
09H00230,-2.2065148,-79.932465,618708.8433,9756070.031
09H00231,-2.1996307,-79.929794,619006.3067,9756830.867
09H00251,-2.1926553,-79.911011,621096.6168,9757600.508
09H00266,-2.1947026,-79.918716,620238.9773,9757374.772
09H00280,-2.2062023,-79.945221,617290.8562,9756105.568
09H00282,-2.2188437,-79.907417,621494.629,9754705.023
09H00286,-2.2018106,-79.918793,620229.8514,9756588.97
09H00287,-2.2081459,-79.929688,619018.0357,9755889.471
09H00291,-2.1941962,-79.91478,620677.6513,9757430.461
09H00295,-2.230468,-79.937637,618132.3404,9753422.372
09H00299,-2.2116015,-79.933014,618647.7096,9755507.738
09H00303,-2.2300587,-79.93692,618211.5437,9753467.589
09H00306,-2.2346232,-79.941467,617705.4888,9752963.354
09H00310,-2.2172825,-79.929642,619022.3226,9754879.436
09H00315,-2.2259007,-79.933098,618637.3194,9753926.959
09H00316,-2.2255998,-79.938797,618003.2781,9753960.66
09H00321,-2.2306814,-79.945709,617234.2697,9753399.421
09H00327,-2.2106962,-79.938957,617987.2769,9755608.293
09H00329,-2.2247765,-79.888916,623550.703,9754047.626
09H00339,-2.2127445,-79.938911,617992.384,9755381.844
09H00342,-2.2192926,-79.943108,617524.8931,9754658.301
09H00357,-2.2008944,-79.917953,620323.6688,9756690.195
09H00358,-2.2050383,-79.924843,619556.7442,9756232.618
09H00369,-2.215708,-79.936058,618309,9755054
09H00372,-2.3458135,-80.251938,583173.7184,9740693.439
09H00382,-2.1982419,-79.910355,621168.18,9756982.83
09H00386,-2.2186921,-79.918922,620214.206,9754722.717
09H00389,-2.2164507,-79.916939,620434.5209,9754970.339
09H00391,-2.2186921,-79.918922,620214.206,9754722.717
09H00397,-2.2158654,-79.923294,619728.7,9755035.56
09H00400,-2.229975,-79.92794,619210.4502,9753476.114
09H00403,-2.2212491,-79.925713,619458.9571,9754440.591
09H00409,-2.2228386,-79.928001,619204.8157,9754265.027
09H00411,-2.2005892,-79.934525,618480.6254,9756725.262
09H00418,-2.205816,-79.898453,622492.0605,9756144.533
09H00419,-2.202122,-79.899406,622385.615,9756552.98
09H00420,-2.0814455,-79.935333,618399.7582,9769896.751
09H00422,-2.2152953,-79.810417,632282,9755089
09H00425,-2.2175384,-79.905464,621711.421,9754849.154
09H00431,-2.2045972,-79.900375,622278.735,9756279.43
09H00440,-2.214937,-79.901306,622173.288,9755136.41
09H00452,-2.2119784,-79.897285,622621.526,9755463.141
09H00473,-2.2090359,-79.896439,622715.719,9755788.405
09H00478,-2.1851203,-79.889938,623441.233,9758431.775
09H00480,-2.2225068,-79.906967,621543.6508,9754300.012
09H00490,-2.2095177,-79.900383,622277.006,9755735.459
09H00501,-2.2025826,-79.910568,621144.911,9756502.996
09H00510,-2.2077544,-79.906219,621628.107,9755930.871
09H00511,-2.202955,-79.903961,621879.99,9756461.255
09H00547,-2.2084179,-79.920418,620048.9271,9755858.701
09H00550,-2.2111995,-79.914337,620725.686,9755550.65
09H00561,-2.2210767,-79.914207,620738.678,9754458.686
09H00567,-2.2056353,-79.913246,620846.377,9756165.685
09H00570,-2.2123492,-79.912117,620971.3604,9755423.369
09H00573,-2.2113538,-79.908089,621419.825,9755533.128
09H00575,-2.0495362,-79.957893,615893.0917,9773426.022
09H00576,-2.2079444,-79.914665,620688.6091,9755910.543
09H00592,-2.2053833,-79.911316,621061.431,9756193.394
09H00605,-2.2008438,-79.906517,621594.905,9756694.857
09H00615,-2.2070787,-79.903473,621933.825,9756005.329
09H00617,-2.2048275,-79.90921,621295.665,9756254.665
09H00619,-2.2072446,-79.904877,621777.7678,9755987.115
09H00622,-2.1886666,-79.891945,623217.2048,9758039.885
09H00655,-2.1942651,-79.892738,623128.338,9757421.051
09H00656,-2.1942651,-79.892738,623128.338,9757421.051
09H00667,-2.1911674,-79.894371,622947.659,9757763.627
09H00684,-1.984235,-79.985985,612773.759,9780646.971
09H00693,-2.0733871,-79.925735,619468.369,9770786.854
09H00700,-2.1446669,-79.940666,617801.9603,9762907.989
09H00703,-2.1991894,-79.896278,622733.905,9756876.918
09H00706,-2.1982267,-79.900154,622303.213,9756983.669
09H00714,-2.1997936,-79.897285,622622.181,9756810.22
09H00732,-2.1836159,-79.892395,623167.771,9758598.279
09H00736,-2.0556922,-79.947166,617085.9269,9772744.643
09H00752,-2.1486628,-79.925156,619526.7561,9762465.028
09H00766,-2.1055512,-79.953568,616370.5767,9767233.254
09H00776,-2.126766,-79.926117,619421.5484,9764885.836
09H00777,-2.1320131,-79.970451,614490.4715,9764309.136
09H00792,-2.1262355,-79.971954,614324.105,9764947.941
09H00810,-2.1631851,-79.904099,621866.941,9760857.897
09H00846,-2.0928955,-79.967537,614816.6497,9768633.361
09H00871,-2.1349273,-79.912514,620933.821,9763982.542
09H00872,-2.001971,-79.970276,614519.114,9778685.204
09H00875,-2.1290133,-79.915184,620636.9935,9764636.577
09H00881,-2.0886438,-79.941948,617663.8975,9769101.523
09H00891,-2.1347654,-79.962524,615371.424,9764004.283
09H00904,-2.0538697,-79.959175,615750.045,9772947.024
09H00914,-2.1115239,-79.965973,614990.6304,9766573.863
